"ftobama","ftblack","ftwhite","fthisp","fthrc","ftsanders","race_white","gender","presjob","econnow","birthyr"
100,81,86,70,91,51,1,2,1,3,1938
100,85,85,88,98,85,0,1,1,4,1958
69,69,56,69,64,87,1,2,3,2,1956
57,77,86,44,53,56,1,2,3,3,1982
100,84,30,30,64,0,0,2,1,1,1977
98,72,72,89,75,70,0,1,1,1,1960
0,100,100,100,0,0,1,2,7,3,1964
3,30,100,70,100,90,0,2,5,2,1938
94,94,44,93,94,86,0,1,2,1,1949
3,80,97,49,49,71,1,2,7,5,1962
68,97,96,97,68,85,0,1,4,2,1980
50,56,60,55,71,2,0,2,5,2,1974
1,50,50,50,1,1,1,1,7,3,1948
2,20,60,53,2,2,1,2,7,4,1946
87,60,83,61,72,41,1,2,2,2,1933
0,0,51,0,0,0,1,1,7,5,1959
4,3,62,58,2,4,1,1,7,4,1949
0,100,70,90,0,6,1,1,7,5,1964
7,51,74,55,0,12,1,1,7,3,1959
2,48,50,50,0,1,1,1,7,3,1952
71,85,20,95,35,40,1,1,1,1,1954
30,79,66,81,0,80,1,2,6,4,1953
37,52,100,50,84,19,1,1,4,2,1959
4,74,77,73,5,28,1,2,7,4,1942
0,95,89,90,2,3,1,1,7,5,1953
100,100,100,100,100,86,1,1,1,1,1955
0,89,60,70,0,0,1,1,7,5,1953
98,99,100,99,99,71,1,2,1,1,1940
59,88,84,89,88,84,0,2,4,3,1963
0,90,80,80,0,6,0,2,7,3,1968
100,83,70,100,90,100,1,2,1,3,1983
86,50,50,50,99,75,1,2,1,3,1946
19,50,50,49,16,62,0,2,7,3,1949
13,50,50,50,0,40,1,2,6,4,1964
61,100,100,100,0,32,1,1,5,5,1945
1,78,78,62,1,51,1,2,7,4,1936
95,52,100,91,71,52,1,2,4,3,1972
34,85,58,60,51,36,1,1,1,2,1988
9,38,82,43,6,17,1,2,7,4,1975
100,91,97,93,100,100,1,1,1,1,1938
52,71,49,91,33,35,0,2,5,3,1965
71,71,70,70,50,61,0,1,4,3,1979
28,35,22,94,3,63,0,1,5,3,1990
18,81,100,96,35,55,1,1,6,3,1934
99,62,45,85,20,100,1,2,1,1,1960
88,80,68,74,72,52,0,2,2,2,1955
3,80,99,85,3,40,1,1,7,3,1954
2,86,86,73,1,64,1,2,7,3,1948
99,94,96,96,89,88,1,1,1,3,1956
59,53,51,40,38,39,1,2,5,2,1962
6,42,81,68,6,2,1,1,7,3,1974
100,88,99,62,100,10,1,2,1,4,1963
30,90,90,90,2,55,1,1,6,3,1948
60,77,84,93,56,90,1,2,5,3,1992
59,50,72,31,97,50,1,1,6,3,1959
22,38,53,48,0,1,1,1,7,4,1992
100,90,81,81,81,100,1,1,1,1,1955
100,100,1,100,100,1,0,1,1,1,1952
6,72,69,4,1,3,1,1,7,5,1953
16,83,100,77,85,60,1,2,7,5,1958
11,50,50,50,12,70,1,2,6,4,1955
94,100,61,84,82,88,0,1,2,2,1983
11,16,37,86,9,19,1,2,7,2,1991
81,50,52,53,57,59,1,1,2,2,1980
80,50,50,55,67,55,1,1,2,2,1982
6,61,90,51,5,21,1,1,7,4,1936
5,52,51,41,1,16,1,1,7,4,1930
100,72,78,96,91,75,0,2,1,2,1941
16,53,51,52,11,61,1,2,6,3,1956
40,6,87,42,20,74,1,2,6,2,1984
29,80,77,57,57,48,1,1,4,2,1979
60,72,41,24,78,50,0,1,1,1,1992
3,1,70,52,0,0,1,1,7,5,1945
3,72,74,94,3,50,1,2,7,5,1968
1,83,91,81,0,0,1,1,7,5,1977
100,50,50,50,100,50,1,2,1,1,1968
31,50,50,50,25,35,1,1,6,3,1993
100,98,49,50,99,0,0,2,1,2,1972
72,50,50,50,84,94,1,2,2,2,1972
0,41,83,51,0,0,1,1,7,5,1921
92,37,80,55,55,13,1,2,2,3,1964
2,90,90,86,2,5,0,2,6,4,1940
56,78,68,68,54,90,0,1,2,2,1979
70,99,51,100,20,100,1,1,3,3,1989
4,66,89,80,9,16,1,1,7,3,1939
67,98,79,63,56,64,0,1,7,1,1972
17,100,62,61,2,10,0,1,6,3,1964
83,66,86,61,92,58,1,2,2,2,1972
91,89,87,91,78,96,1,1,1,2,1956
95,54,53,53,75,75,1,2,1,2,1946
89,60,84,50,65,99,1,2,2,2,1983
35,50,51,50,40,51,1,1,6,2,1991
97,99,55,83,89,99,1,2,5,4,1961
6,80,100,22,3,51,1,2,7,3,1975
89,61,87,33,70,50,1,2,2,1,1958
70,46,44,94,12,16,0,1,3,2,1963
50,15,96,0,20,90,1,1,5,3,1973
0,41,45,55,0,0,1,2,7,4,1956
61,53,63,32,38,54,0,2,7,3,1987
3,95,87,28,9,53,1,2,7,4,1986
89,97,94,89,95,84,1,1,1,1,1994
100,51,50,51,90,50,0,1,2,3,1956
5,50,50,50,6,51,0,2,7,3,1973
91,100,100,99,100,998,1,2,2,3,1950
